form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB17,C00612432,B-766737,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-01-19,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766819,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,G2020,,2021-01-19,21.50,null,E-Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766820,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-01-22,8.90,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766798,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-01-26,0.54,null,E-Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766821,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-01-28,36.52,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766830,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-01,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792137,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-01,15.00,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792138,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-01,35.00,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792139,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-05,4.00,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766918,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-09,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792140,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-10,77.18,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766917,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-16,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792141,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-16,173.70,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792142,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-17,104.77,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792143,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-19,130.41,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792144,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-23,245.48,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792145,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-02-25,11.20,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792133,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-01,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792147,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-03,50.38,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792148,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-03,100.00,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792146,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-05,15.00,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792149,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-05,103.23,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792185,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-09,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792335,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-09,80.80,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792337,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-10,13.10,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792317,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-15,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792340,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-15,235.00,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792341,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-17,172.30,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792342,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-19,50.20,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792318,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-23,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792343,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-23,206.26,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792344,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-25,142.16,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792319,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-29,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792345,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-29,48.20,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792346,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-30,98.83,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792347,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-03-31,79.90,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-752883,,,ORG,Campaign Financial Services,,,,,,4905 Del Ray Avenue,,Bethesda,MD,20814,P2022,,2021-01-11,4300.00,null,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766914,,,ORG,Campaign Financial Services,,,,,,4905 Del Ray Avenue,,Bethesda,MD,20814,P2022,,2021-02-09,4300.00,null,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921098,B-732315,,ORG,Capitol Hill Club,,,,,,"300 First Street, S.E.",,Washington,DC,20003,P2022,,2020-12-15,397.52,null,Meal Expense,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766792,B-766791,,ORG,Capitol Hill Club,,,,,,"300 First Street, S.E.",,Washington,DC,20003,P2022,,2021-01-15,33.47,null,Meal Expense,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921142,B-792191,,ORG,Capitol Hill Club,,,,,,"300 First Street, S.E.",,Washington,DC,20003,P2022,,2021-02-16,606.00,null,Meal Expense,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921146,B-792191,,ORG,Capitol Hill Club,,,,,,"300 First Street, S.E.",,Washington,DC,20003,P2022,,2021-03-15,123.22,null,Meal Expense,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921015,,,ORG,"Capitol Hill Lists, LLC",,,,,,1668 Rambling Rill Drive,,Statham,GA,30666,P2022,,2021-03-31,10547.43,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792156,,,ORG,Communications Corporation Of America,,,,,,13129 Airpark Dr.,Suite 120,Elkwood,VA,22718,P2022,,2021-02-11,50680.38,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921019,,,ORG,Communications Corporation Of America,,,,,,13129 Airpark Dr.,Suite 120,Elkwood,VA,22718,P2022,,2021-03-31,21988.42,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766800,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,P2022,,2021-01-15,555.00,null,Software Service,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766916,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,P2022,,2021-02-11,635.00,null,Software Service,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792313,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,P2022,,2021-03-15,675.00,null,Software Service,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921096,B-732314,,ORG,Delta Air Lines,,,,,,1030 Delta Blvd.,,Atlanta,GA,30354,P2022,,2020-12-15,308.60,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921136,B-766773,,ORG,Delta Air Lines,,,,,,1030 Delta Blvd.,,Atlanta,GA,30354,P2022,,2020-12-20,244.60,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921138,B-766773,,ORG,Delta Air Lines,,,,,,1030 Delta Blvd.,,Atlanta,GA,30354,P2022,,2020-12-29,348.60,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766783,B-766773,,ORG,Delta Air Lines,,,,,,1030 Delta Blvd.,,Atlanta,GA,30354,P2022,,2021-01-23,212.20,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766784,B-766773,,ORG,Delta Air Lines,,,,,,1030 Delta Blvd.,,Atlanta,GA,30354,P2022,,2021-01-23,167.00,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766785,B-766773,,ORG,Delta Air Lines,,,,,,1030 Delta Blvd.,,Atlanta,GA,30354,P2022,,2021-01-24,300.00,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921167,B-766923,,ORG,Delta Air Lines,,,,,,1030 Delta Blvd.,,Atlanta,GA,30354,P2022,,2021-01-29,379.20,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921199,B-766923,,ORG,Delta Air Lines,,,,,,1030 Delta Blvd.,,Atlanta,GA,30354,P2022,,2021-02-08,303.20,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921125,B-766921,,ORG,Destin Chamber of Commerce,,,,,,"4484 Legendary Drive, #A",,Destin,FL,32541,P2022,,2021-02-09,335.00,null,Membership Dues,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921021,,,ORG,"Direct Mail Processors, Inc.",,,,,,1150 Conrad Court,,Hagerstown,MD,21740,P2022,,2021-03-31,16503.88,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792198,,,ORG,Drake Ventures LLC,,,,,,1007 North Federal Highway,,Fort Lauderdale,FL,33308,P2022,,2021-03-24,5000.00,null,Strategic Campaign Consulting,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-732317,,,ORG,Election Connections,,,,,,P. O. Box 10866,,Tallahassee,FL,32302,P2022,,2021-01-06,4833.13,null,Printing,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766831,,,ORG,Election Connections,,,,,,P. O. Box 10866,,Tallahassee,FL,32302,P2022,,2021-02-04,21120.09,null,Text Messaging Services,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766843,,,ORG,Election Connections,,,,,,P. O. Box 10866,,Tallahassee,FL,32302,P2022,,2021-02-04,12000.00,null,Polling,005,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766912,,,ORG,Election Connections,,,,,,P. O. Box 10866,,Tallahassee,FL,32302,P2022,,2021-02-18,-21120.09,null,VOID - Lost Check - Text Messaging Services from 2/4/21 - See Reissue on 2/18/21,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766913,,,ORG,Election Connections,,,,,,P. O. Box 10866,,Tallahassee,FL,32302,P2022,,2021-02-18,21102.09,null,Text Messaging Services - Reissue from 2/4/21,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921112,B-766922,,ORG,Enterprise Rent-A-Car,,,,,,2430 Airport Boulevard,,Pensacola,FL,32504,P2022,,2021-01-29,463.02,null,Rental Car Expense,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-732313,,,ORG,Extensive Enterprises Media,,,,,,204 37th Ave N,Ste 182,St. Petersburg,FL,33704,P2022,,2021-01-04,1000.00,null,Advertising,004,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766833,,,ORG,Extensive Enterprises Media,,,,,,204 37th Ave N,Ste 182,St. Petersburg,FL,33704,P2022,,2021-02-03,1000.00,null,Advertising,004,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792187,,,ORG,Extensive Enterprises Media,,,,,,204 37th Ave N,Ste 182,St. Petersburg,FL,33704,P2022,,2021-03-16,1000.00,null,Advertising,004,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-732314,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-01-06,770.70,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-732315,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-01-06,397.52,null,SEE MEMO ITEM,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-732316,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-01-06,397.75,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766756,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-01-26,869.71,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766773,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-01-26,4462.87,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766791,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-01-26,33.47,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766921,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-02-22,1431.00,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766922,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-02-22,2397.60,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766923,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-02-22,5965.12,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792189,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-03-18,200.00,null,SEE MEMO ITEM,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792190,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-03-18,10272.48,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792191,,,ORG,First Bankcard,,,,,,P.O. Box 2818,,Omaha,NE,681032818,P2022,,2021-03-18,880.99,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921165,B-766923,,ORG,Gaylord National Resort & Convention Center,,,,,,201 Waterfront Street,,National Harbor,MD,20745,P2022,,2021-01-28,580.84,null,Lodging Fees,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766842,,,ORG,Gold Standard,,,,,,16192 Coastal Highway,,Lewes,DE,19958,P2022,,2021-02-04,9000.00,null,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921182,B-792190,,ORG,Grand Bohemian Hotel Orlando,,,,,,325 South Orange Avenue,,Orlando,FL,32801,P2022,,2021-03-01,3218.40,null,Lodging,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-752881,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2022,,2021-01-05,51.00,null,Payroll Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766823,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2022,,2021-01-29,80.00,null,Payroll Taxes,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766824,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2022,,2021-01-29,461.75,null,SEE MEMO ITEM,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766883,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2022,,2021-02-02,51.00,null,Payroll Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792157,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2022,,2021-02-26,80.00,null,Payroll Taxes,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792158,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2022,,2021-02-26,461.75,null,SEE MEMO ITEM,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792160,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2022,,2021-03-02,59.00,null,Payroll Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792314,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2022,,2021-03-31,93.00,null,Payroll Taxes,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792315,,,ORG,Gusto,,,,,,525 20th Street,,San Francisco,CA,94107,P2022,,2021-03-31,461.75,null,SEE MEMO ITEM,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921115,B-766922,,ORG,Hilton Garden Inn,,,,,,1144 Airport Boulevard,,Pensacola,FL,32504,P2022,,2021-01-29,293.70,null,Lodging,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766758,B-766756,,ORG,Hotels.com,,,,,,5400 Lyndon B Johnson Freeway,Suite 500,Dallas,TX,75240,P2022,,2021-01-26,319.78,null,Lodging,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-752882,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,P2022,,2021-01-05,550.00,null,Software Service,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766884,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,P2022,,2021-02-02,550.00,null,Software Service,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792161,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,P2022,,2021-03-02,550.00,null,Software Service,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921095,B-732314,,ORG,JetBlue,,,,,,1 Aviation Circle,,Washington,DC,20001,P2022,,2020-12-14,409.10,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766774,B-766773,,ORG,JetBlue,,,,,,1 Aviation Circle,,Washington,DC,20001,P2022,,2020-12-17,20.00,null,Airline Fee,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766822,,,ORG,Kessler Creative,,,,,,12276 San Jose Boulevard,Suite 115,Jacksonville,FL,32223,P2022,,2021-01-12,34327.80,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-920999,,,ORG,Kessler Creative,,,,,,12276 San Jose Boulevard,Suite 115,Jacksonville,FL,32223,P2022,,2021-03-11,27325.42,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921202,B-766923,,ORG,LA Brochette,,,,,,340 Lexington Avenue,,New York,NY,10016,P2022,,2021-02-09,1974.33,null,Catering,003,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766775,B-766773,,ORG,Mar-a-lago Club,,,,,,1100 South Ocean Boulevard,,Palm Beach,FL,33480,P2022,,2020-12-18,644.14,null,Meal Expense,003,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766776,B-766773,,ORG,Mar-a-lago Club,,,,,,1100 South Ocean Boulevard,,Palm Beach,FL,33480,P2022,,2020-12-19,186.01,null,Meal Expense,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921203,B-766923,,ORG,Marriott,,,,,,6955 Lake Nona Boulevard,,Orlando,FL,32827,P2022,,2021-02-12,211.26,null,Lodging,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
